設定No,進行目安,種別,地域,マップKey,階層,設定ID,表示ラベル,text,座標,表示条件・関連ID,プロパティ,source,設定パス,修正案,編集メモ
124,第4段階 水上都市・海底神殿・レクスノート邸,進行制限ログ,海底神殿,SEABED_TEMPLE,3,,地下4階へ下りる,激しい水流で進めない。,"(11,2)",requiredFlag=thunderFortCleared,lockedLog,map.js,floorLinks.1,,
125,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,海底神殿,SEABED_TEMPLE,4,,東の水門を下ろす,東の水門が閉じ、潮の唸りが変わった。,"(25,20)",,log,map.js,mapActions.1,,
126,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,海底神殿,SEABED_TEMPLE,4,,西の水門を下ろす,西の水門が低い音を立てた。,"(5,6)",,log,map.js,mapActions.0,,
127,第4段階 水上都市・海底神殿・レクスノート邸,移動・操作メッセージ,海底神殿,SEABED_TEMPLE,4,,,水鏡が戻り道を映した。,"(25,6)",,message,map.js,tileEffects.2,,
128,第4段階 水上都市・海底神殿・レクスノート邸,移動・操作メッセージ,海底神殿,SEABED_TEMPLE,4,,,渦潮が反対側の水路へ運んだ。,"(5,20)",,message,map.js,tileEffects.1,,
129,第4段階 水上都市・海底神殿・レクスノート邸,移動・操作メッセージ,海底神殿,SEABED_TEMPLE,4,,,逆潮に押し流された。,,,message,map.js,tileEffects.0,,
130,第4段階 水上都市・海底神殿・レクスノート邸,移動・操作メッセージ,海底神殿,SEABED_TEMPLE,4,seabed_current,,逆潮の番人が迫る！,"(25,20)",,message,map.js,tileEffects.3,,
131,第4段階 水上都市・海底神殿・レクスノート邸,移動・操作メッセージ,海底神殿,SEABED_TEMPLE,5,,,祭壇の逆潮に引かれた。,,,message,map.js,tileEffects.0,,
132,第4段階 水上都市・海底神殿・レクスノート邸,移動・操作メッセージ,海底神殿,SEABED_TEMPLE,5,seabed_altar_guard,,祭壇守が水を割って迫る！,"(25,17)",,message,map.js,tileEffects.1,,
133,第4段階 水上都市・海底神殿・レクスノート邸,調査ログ,海底神殿,SEABED_TEMPLE,5,,逆潮祭壇を鎮める,ソフィアとアランが、祭壇を縛る逆潮の核を睨んでいる。,"(15,6)","questId=sophia_alan_seabed_depths; monsterId=[303208, 303202]",inspectLog,map.js,bosses.0,,
134,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,レクスノート邸内,,,rexnote_basement_report,,アランが仲間に加わり、魔法の小舟を手に入れた。雷の要塞へ向かおう。,,,LOG action,story.js:7318,actions.11,,
135,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,レクスノート邸内,,,rexnote_estate_arrival,,レクスノート邸の地下迷宮を調査し、最奥の隠し書庫を目指そう。,,,LOG action,story.js:7286,actions.4,,
136,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,レクスノート邸内,,,arel_kagetora_rexnote_record_phase8e,,光の宮殿に残る十年前の旧命令記録を確認しよう。,,,LOG action,story.js:7471,actions.3,,
137,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,レクスノート邸内,REXNOTE_ESTATE,MAP000071-01,,古い家紋を見る,埃をかぶった盾形の家紋に、『REXNOTE』の文字だけが残っている。,"(8,2)",,log,map.js,mapActions.2,,
138,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,レクスノート邸内,REXNOTE_ESTATE,MAP000071-01,,地下迷宮へ降りる,石段の下から、屋敷のものとは思えない冷たい魔力が流れてくる。,"(13,7)",requiredFlag=rexnoteBasementRequested,log,map.js,mapActions.3,,
139,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,レクスノート邸 地下迷宮,REXNOTE_BASEMENT,5,,書架を調べる,湿気で傷んだ本が多い。中央の机に置かれた一冊だけ、レクスノート家の封蝋が残っている。,"(20,9)",,log,map.js,mapActions.1,,
140,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,レクスノート邸 地下迷宮,REXNOTE_BASEMENT,5,,書架を調べる,航路用の魔導具、結界、領内の水路管理など、旧レクスノート領で使われた術式の記録が並んでいる。,"(4,9)",,log,map.js,mapActions.0,,
141,第4段階 水上都市・海底神殿・レクスノート邸,進行制限ログ,レクスノート邸 地下迷宮,REXNOTE_BASEMENT,5,,レクスノート邸へ戻る,守護術式が帰還陣を封じている。,"(12,1)",requiredFlag=rexnoteRegulusDefeated,lockedLog,map.js,floorLinks.1,,
142,第5段階 雷の要塞,ストーリーLOG,ライザーク要塞,,,thunder_guild_undersea_volcano_briefing,,バロンたちを追い、カザリアよりさらに北東の海にある海底火山へ向かおう。,,,LOG action,story.js:7619,actions.6,,
143,第5段階 雷の要塞,ストーリーLOG,ライザーク要塞,,,thunder_fort_claude_luna_arrival,,ルーナは生きていた。救護所で休ませ、ギルド区画でクロードから光の宮殿の出来事を聞こう。,,,LOG action,story.js:7696,actions.4,,
144,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,依頼掲示板が置かれている。,"(8,19)",,log,map.js,blockingObjects.6,,
145,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,依頼掲示板が置かれている。,"(9,19)",,log,map.js,blockingObjects.7,,
146,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,依頼掲示板が置かれている。,"(9,20)",,log,map.js,blockingObjects.8,,
147,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,冒険者ギルドの受付カウンターだ。,"(7,20)",,log,map.js,blockingObjects.0,,
148,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,冒険者ギルドの受付カウンターだ。,"(3,21)",,log,map.js,blockingObjects.1,,
149,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,冒険者ギルドの受付カウンターだ。,"(4,21)",,log,map.js,blockingObjects.2,,
150,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,冒険者ギルドの受付カウンターだ。,"(5,21)",,log,map.js,blockingObjects.3,,
151,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,冒険者ギルドの受付カウンターだ。,"(6,21)",,log,map.js,blockingObjects.4,,
152,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,冒険者ギルドの受付カウンターだ。,"(7,21)",,log,map.js,blockingObjects.5,,
153,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,簡素な寝台が並んでいる。,"(27,20)",,log,map.js,blockingObjects.9,,
154,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,簡素な寝台が並んでいる。,"(29,20)",,log,map.js,blockingObjects.10,,
155,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,簡素な寝台が並んでいる。,"(27,23)",,log,map.js,blockingObjects.13,,
156,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,簡素な寝台が並んでいる。,"(29,23)",,log,map.js,blockingObjects.14,,
157,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,要塞の宿泊所に備えられた寝台だ。,"(27,21)",,log,map.js,blockingObjects.11,,
158,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,要塞の宿泊所に備えられた寝台だ。,"(29,21)",,log,map.js,blockingObjects.12,,
159,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,要塞の宿泊所に備えられた寝台だ。,"(27,24)",,log,map.js,blockingObjects.15,,
160,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,,要塞の宿泊所に備えられた寝台だ。,"(29,24)",,log,map.js,blockingObjects.16,,
161,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,ゼリードと話す,ゼリード「今は記録を辿ろう。俺が逃げた分までな。」,,,log,map.js,mapActors.0.states.1.action,,
162,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,ゼリードと話す,ゼリードが、捨てられなかった古い紙片を眺めている。,,questId=arel_kagetora_appeal,log,map.js,mapActors.0.states.0.action,,
163,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,バロンと話す,バロンが、雷の制御核へ向けて武器を握り直している。,,questId=frieda_baron_thunder_depths,log,map.js,mapActors.5.states.2.action,,
164,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,フリーダと話す,フリーダが、高圧電流の先を見据えている。,,questId=frieda_baron_thunder_depths,log,map.js,mapActors.4.states.1.action,,
165,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,リンと話す,リンが、雷鳴の奥に残る魔物の気配を追っている。,,questId=rin_thunder_fort,log,map.js,mapActors.3.states.0.action,,
166,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,三人の話を聞く,バロンたちは海底火山へ向かう準備をしている。,,eventId=thunder_guild_undersea_volcano_briefing,log,map.js,mapActors.5.states.1.action,,
167,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,三人の話を聞く,フリーダたちは海底火山へ向かう準備をしている。,,eventId=thunder_guild_undersea_volcano_briefing,log,map.js,mapActors.4.states.0.action,,
168,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,三人の話を聞く,マリーは海底火山へ向かう覚悟を決めている。,,eventId=thunder_guild_undersea_volcano_briefing,log,map.js,mapActors.12.states.1.action,,
169,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,依頼掲示板を見る,各地から届いた依頼票が掲示されている。,"(8,20)",,log,map.js,mapActions.0,,
170,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,冒険者と話す,冒険者は避難路を確保しながら暴走する敵を食い止めている。,,eventId=thunder_fort_adventurer_crisis,log,map.js,mapActors.10.states.1.action,,
171,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,前線を押し返す,バロンが救護区画へ続く通路を守っている。,,eventId=thunder_fort_demon_assault_wave1,log,map.js,mapActors.5.states.0.action,,
172,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,受付職員と話す,受付職員が丁寧に一礼した。,,,log,map.js,mapActors.1.states.0.action,,
173,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,救護区画を守る,別働隊が救護所へ迫っている。,,eventId=thunder_fort_demon_assault_wave2,log,map.js,mapActors.12.states.0.action,,
174,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,暗黒騎士と話す,暗黒騎士は居住区を無視して中枢だけを見ている。,,eventId=thunder_fort_dark_knight_crisis,log,map.js,mapActors.11.states.0.action,,
175,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,東門から外に出る,門の向こうに、うっすらと光の神殿が見える。,"(31,14)",requiredFlag=thunderFortCleared,log,map.js,floorLinks.1,,
176,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,武器を見る,押収された武器が整備されている。,,,log,map.js,mapActors.7.states.0.action,,
177,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,海底火山の場所を聞く,冒険者は海図の東端に指を置いている。,,eventId=undersea_volcano_route_hint_thunder,log,map.js,mapActors.10.states.0.action,,
178,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,無料で休む,宿泊所の係員が空いている寝台を案内してくれた。,,,log,map.js,mapActors.2.states.0.action,,
179,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,補給品を買う,解放された要塞に補給隊が入っている。,,,log,map.js,mapActors.6.states.0.action,,
180,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,西門から外に出る,西門の向こうに、川沿いの岸辺が見える。,"(1,14)",,log,map.js,floorLinks.0,,
181,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,解放兵と話す,解放された兵が深く息を吐いている。,,eventId=post_thunder_fort_base_1,log,map.js,mapActors.9.states.0.action,,
182,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,防具を見る,雷対策の防具が並び始めている。,,,log,map.js,mapActors.8.states.0.action,,
183,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,1,,騒ぎを確かめる,救護所の前に人が集まっている。,,eventId=thunder_fort_claude_luna_arrival,log,map.js,mapActors.13.states.0.action,,
184,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,ゼリードと話す,今はまだ、十年前の記録を追う時ではないようだ。,,questId=arel_kagetora_appeal,lockedText,map.js,mapActors.0.states.0.action,,
185,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,バロンと話す,今はまだ、要塞深部の電流を越える加護が足りない。,,questId=frieda_baron_thunder_depths,lockedText,map.js,mapActors.5.states.2.action,,
186,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,フリーダと話す,今はまだ、要塞深部の電流を越える加護が足りない。,,questId=frieda_baron_thunder_depths,lockedText,map.js,mapActors.4.states.1.action,,
187,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,リンと話す,リンはまだ、光を導く者の到着を待っている。,,questId=rin_thunder_fort,lockedText,map.js,mapActors.3.states.0.action,,
188,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,武器を見る,武器庫は封鎖されている。,,,lockedText,map.js,mapActors.7.states.0.action,,
189,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,補給品を買う,まだ補給隊は入れないようだ。,,,lockedText,map.js,mapActors.6.states.0.action,,
190,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,解放兵と話す,雷の轟きで声が届かない。,,eventId=post_thunder_fort_base_1,lockedText,map.js,mapActors.9.states.0.action,,
191,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,1,,防具を見る,防具庫は封鎖されている。,,,lockedText,map.js,mapActors.8.states.0.action,,
192,第5段階 雷の要塞,調査ログ,ライザーク要塞,THUNDER_FORT,1,,機械兵士と戦う,一際危険なオーラを纏う機械兵士が佇んでいる…,"(16,14)",monsterId=852,inspectLog,map.js,bosses.0,,
193,第5段階 雷の要塞,進行制限ログ,ライザーク要塞,THUNDER_FORT,1,,東門から外に出る,東門は雷の結界で閉ざされている…,"(31,14)",requiredFlag=thunderFortCleared,lockedLog,map.js,floorLinks.1,,
194,第5段階 雷の要塞,利用不可メッセージ,ライザーク要塞,THUNDER_FORT,4,,雷のプリズムに呼びかける,雷のプリズムは、まだこちらの声に応えない。,"(16,4)","requiredFlags=['abyssSpiritPilgrimageStarted', 'thunderFortCleared']",lockedText,map.js,mapActions.0,,
195,第5段階 雷の要塞,進行制限ログ,ライザーク要塞,THUNDER_FORT,4,,5階へ上がる,高圧電流が迸り、今は進めない。,"(26,4)",requiredFlag=lightPalaceCleared,lockedLog,map.js,floorLinks.1,,
196,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,5,,左の雷導スイッチを押す,左の雷導スイッチに手を置いた。,"(10,4)",,log,map.js,mapActions.0,,
197,第5段階 雷の要塞,マップログ,ライザーク要塞,THUNDER_FORT,5,,東の雷導スイッチを押す,右の雷導スイッチに手を置いた。,"(22,4)",,log,map.js,mapActions.1,,
198,第5段階 雷の要塞,移動・操作メッセージ,ライザーク要塞,THUNDER_FORT,5,,,雷流が反転した。,"(29,18)",,message,map.js,tileEffects.1,,
199,第5段階 雷の要塞,移動・操作メッセージ,ライザーク要塞,THUNDER_FORT,5,,,雷流に弾かれた。,"(3,18)",,message,map.js,tileEffects.0,,
200,第5段階 雷の要塞,移動・操作メッセージ,ライザーク要塞,THUNDER_FORT,5,thunder_deep_guard,,雷鎧の強敵が迫る！,"(26,22)",,message,map.js,tileEffects.2,,
201,第5段階 雷の要塞,移動・操作メッセージ,ライザーク要塞,THUNDER_FORT,6,thunder_core_guard,,制御核の守衛が迫る！,"(26,18)",,message,map.js,tileEffects.0,,
202,第5段階 雷の要塞,調査ログ,ライザーク要塞,THUNDER_FORT,6,,制御核を止める,フリーダとバロンが、雷の核へ同時に武器を構えている。,"(16,8)","requiredFlag=underseaVolcanoCleared; questId=frieda_baron_thunder_depths; monsterId=[303204, 901]",inspectLog,map.js,bosses.0,,
203,第6段階 大灯台・海底火山・光の宮殿回想,進行制限ログ,海底火山,UNDERSEA_VOLCANO,3,,破壊された隔壁の先へ,重い隔壁には古い錠が残っている。こちら側から壊せる造りではない。,,requiredFlag=underseaVolcanoRouteOpened,lockedLog,map.js,proceduralNextLink,,
204,第6段階 大灯台・海底火山・光の宮殿回想,マップログ,海底火山,UNDERSEA_VOLCANO,4,,研究記録を調べる,火の力を長期間肉体へ馴染ませるための観測記録が残されている。海水圧と周囲の水属性を安全弁として利用していたようだ。,"(9,7)",,log,map.js,mapActions.0,,
205,第7段階 光の宮殿・結晶樹,ストーリーLOG,光の宮殿グランプリズマ,,,arel_kagetora_appeal_found_phase8e,,『王への上申書』を手に入れた。アレルが十年前に統合の儀を止めようとしていた原本だ。,,,LOG action,story.js:7499,actions.4,,
206,第7段階 光の宮殿・結晶樹,ストーリーLOG,光の宮殿グランプリズマ,,,light_palace_final_locked_prison,,地下牢の主要な生存者を確認しよう。,,,LOG action,story.js:5828,actions.1,,
207,第7段階 光の宮殿・結晶樹,ストーリーLOG,光の宮殿グランプリズマ,,,arel_kagetora_palace_order_phase8e,,水上都市のハヤテへ、ゼリード自身の言葉で真実を伝えよう。,,,LOG action,story.js:7480,actions.3,,
208,第7段階 光の宮殿・結晶樹,マップログ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,巡礼者と話す,巡礼者が割れたステンドグラスを集めている。,,eventId=post_light_palace_base_1,log,map.js,mapActors.3.states.0.action,,
209,第7段階 光の宮殿・結晶樹,マップログ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,武器を見る,白光を帯びた武器が整えられている。,,,log,map.js,mapActors.1.states.0.action,,
210,第7段階 光の宮殿・結晶樹,マップログ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,聖薬を買う,巡礼者の補給所が開かれている。,,,log,map.js,mapActors.0.states.0.action,,
211,第7段階 光の宮殿・結晶樹,マップログ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,防具を見る,浄化された防具が並んでいる。,,,log,map.js,mapActors.2.states.0.action,,
212,第7段階 光の宮殿・結晶樹,利用不可メッセージ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,巡礼者と話す,光の宮殿グランプリズマはまだ緊張に包まれている。,,eventId=post_light_palace_base_1,lockedText,map.js,mapActors.3.states.0.action,,
213,第7段階 光の宮殿・結晶樹,利用不可メッセージ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,武器を見る,武器庫は沈黙している。,,,lockedText,map.js,mapActors.1.states.0.action,,
214,第7段階 光の宮殿・結晶樹,利用不可メッセージ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,聖薬を買う,まだ巡礼者は戻っていない。,,,lockedText,map.js,mapActors.0.states.0.action,,
215,第7段階 光の宮殿・結晶樹,利用不可メッセージ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,防具を見る,防具庫は閉ざされている。,,,lockedText,map.js,mapActors.2.states.0.action,,
216,第7段階 光の宮殿・結晶樹,調査ログ,光の宮殿グランプリズマ,LIGHT_PALACE,1,,白光の番兵と戦う,金の鍵を携えた番兵が白い回廊を守っている。,"(27,6)",missingFlag=lightPalaceFlashbackActive; monsterId=952,inspectLog,map.js,bosses.0,,
217,第7段階 光の宮殿・結晶樹,利用不可メッセージ,光の宮殿グランプリズマ,LIGHT_PALACE,4,,光のプリズムに呼びかける,光のプリズムは、まだこちらの声に応えない。,"(17,8)","requiredFlags=['abyssSpiritPilgrimageStarted', 'lightPalaceCleared']",lockedText,map.js,mapActions.1,,
218,第7段階 光の宮殿・結晶樹,ストーリーLOG,結晶樹の秘跡,,,crystal_tree_cycle_crystal_ritual_phase17,,六つの結晶片が揃っていない。,,,LOG action,story.js:6206,actions.0.else.0.else.0,,
219,第7段階 光の宮殿・結晶樹,ストーリーLOG,結晶樹の秘跡,,,crystal_tree_cycle_crystal_ritual_phase17,,輪廻の結晶を携え、深淵の奥へ戻ろう。,,,LOG action,story.js:6206,actions.0.else.0.then.3,,
220,第7段階 光の宮殿・結晶樹,ストーリーLOG,結晶樹の秘跡,,,crystal_tree_post_clear_checkpoint,,闇のプリズムを自分たちの目で確かめるため、魔王城へ向かうことになった。,,,LOG action,story.js:6178,actions.0.else.13,,
221,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,1,,,脆い横穴が崩れ、少し手前へ押し戻された。,"(52,13)",,message,map.js,tileEffects.1,,
222,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,1,galvania_f1_black_scout_v2,,黒岩の隙間から、侵食に追われた魔物が飛び出した！,"(7,23)",,message,map.js,tileEffects.0,,
223,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,どこかに移動したようだ…,"(20,24)",,message,map.js,tileEffects.6,,
224,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,一歩進んだはずが、また最初の柱を見上げている。,"(32,24)",,message,map.js,tileEffects.2,,
225,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,内側の回廊に吸い込まれた。,"(50,28)",,message,map.js,tileEffects.5,,
226,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,同じ石柱の前へ戻された。,"(18,28)",,message,map.js,tileEffects.0,,
227,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,外周を回りきったはずの道が、また入口側へつながっていた。,"(54,20)",,message,map.js,tileEffects.4,,
228,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,輪の中心から、始まりの横穴へ放り出された。,"(36,20)",,message,map.js,tileEffects.7,,
229,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,道が不安定に変化した・・・,"(25,28)",,message,map.js,tileEffects.1,,
230,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,2,,,闇の風に巻かれ、どこかへ移動した。,"(46,28)",,message,map.js,tileEffects.3,,
231,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,3,galvania_f3_ash_daemon_v2,,溶岩霧の向こうから、侵食に濁った魔物が這い出した！,"(36,28)",,message,map.js,tileEffects.0,,
232,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,4,galvania_f4_frost_hound_v2,,氷壁の裂け目から、侵食獣が滑るように迫ってきた！,"(55,13)",,message,map.js,tileEffects.1,,
233,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,4,,,氷晶の床に足を取られ、止まるまで滑った！,,,message,map.js,tileEffects.0,,
234,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,5,galvania_f5_supply_overseer_v2,,崩れた補給路から、深淵側の魔物がなだれ込んできた！,"(48,21)",,message,map.js,tileEffects.0,,
235,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,奈落への洞窟,GALVANIA_CAVE,6,galvania_f6_royal_rearguard_v2,,最終防衛線を越えた魔物が、祭壇側から迫ってきた！,"(50,21)",,message,map.js,tileEffects.0,,
236,第8段階 ガルヴァニア・魔王城,マップログ,魔王城ガルヴァニア,DARK_CASTLE,1,,,重厚な燭台が道を塞いでいる。,"(15,5)",,log,map.js,blockingObjects.0,,
237,第8段階 ガルヴァニア・魔王城,マップログ,魔王城ガルヴァニア,DARK_CASTLE,1,,,重厚な燭台が道を塞いでいる。,"(17,5)",,log,map.js,blockingObjects.1,,
238,第8段階 ガルヴァニア・魔王城,マップログ,魔王城ガルヴァニア,DARK_CASTLE,1,,魔族兵と話す,魔族兵が城門の修復計画を見ている。,,eventId=post_dark_castle_base_1,log,map.js,mapActors.0.states.0.action,,
239,第8段階 ガルヴァニア・魔王城,利用不可メッセージ,魔王城ガルヴァニア,DARK_CASTLE,1,,魔族兵と話す,魔族兵は警戒している。,,eventId=post_dark_castle_base_1,lockedText,map.js,mapActors.0.states.0.action,,
240,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,2,dark_castle_west_patrol,,西館の巡察兵が迫る！,"(25,22)",,message,map.js,tileEffects.2,,
241,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,2,,,黒鏡が元の廊下へ返した。,"(23,15)",,message,map.js,tileEffects.1,,
242,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,2,,,黒鏡の回廊が左右を入れ替えた。,"(11,15)",,message,map.js,tileEffects.0,,
243,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,4,dark_castle_east_patrol,,東館の追跡者が迫る！,"(7,22)",,message,map.js,tileEffects.2,,
244,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,4,,,風哭の門が東西を反転した。,"(10,15)",,message,map.js,tileEffects.0,,
245,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,4,,,風哭の門が閉じた。,"(22,15)",,message,map.js,tileEffects.1,,
246,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,6,,,夢の継ぎ目から戻った。,"(23,20)",,message,map.js,tileEffects.1,,
247,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,6,dark_castle_dream_guard,,夢幻の番人が迫る！,"(25,9)",,message,map.js,tileEffects.2,,
248,第8段階 ガルヴァニア・魔王城,移動・操作メッセージ,魔王城ガルヴァニア,DARK_CASTLE,6,,,夢幻回廊が景色を裏返した。,"(9,10)",,message,map.js,tileEffects.0,,
249,第8段階 ガルヴァニア・魔王城,マップログ,魔王城ガルヴァニア,DARK_CASTLE,7,,玉座の間を見渡す,滅びた玉座の前で、赤い空だけが静かに揺れている。,"(21,14)",,log,map.js,mapActions.1,,
250,第8段階 ガルヴァニア・魔王城,利用不可メッセージ,魔王城ガルヴァニア,DARK_CASTLE,7,,闇のプリズムに呼びかける,闇のプリズムは、まだこちらの声に応えない。,"(16,5)","requiredFlags=['abyssSpiritPilgrimageStarted', 'darkCastleCleared']",lockedText,map.js,mapActions.2,,
251,第10段階以降 深淵,マップログ,最果ての地カルメナ,CARMENA,MAP000054-00,,,二将の背後で、北門が固く閉ざされている。,"(19,2)",missingFlag=abyssCarmenaGateCleared,log,map.js,blockingObjects.0,,
252,第10段階以降 深淵,マップログ,最果ての地カルメナ,CARMENA,MAP000054-00,,宿に泊まる,黒曜石の壁に、淡い灯がともっている。,"(10,20)",,log,map.js,mapActions.0,,
253,第10段階以降 深淵,マップログ,最果ての地カルメナ,CARMENA,MAP000054-00,,黒い泉から地上へ戻る,黒い水面の奥に、地上へ続く光が揺れている。,"(19,26)",,log,map.js,mapActions.2,,
