時系列No,進行目安,区分,地域・クエスト,会話ID,name,text,charId,行,イベントID,条件・演出備考,参照状態,source,修正案,編集メモ
374,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_SOPHIA_AFTER_MEETING,ソフィア,"青の結晶が水路を開いた。
海底神殿は、この街の北だ。",202,1/2,water_city_sophia_after_meeting,event=water_city_sophia_after_meeting; actions=CONV:WATER_CITY_SOPHIA_AFTER_MEETING; 水上都市リヴァリア FMAP000015-00 / ソフィアと話す / storyStep>=4; storyStep<=4; subMin=:3; subMax=:99; 水上都市リヴァリア FMAP000015-00 / ソフィアと話す / default=:True; 水上都市リヴァリア FMAP000015-00; 水上都市リヴァリア FMAP000015-00,現行参照,story.js:1397,,
375,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_SOPHIA_AFTER_MEETING,ケイト,"私も行きます。
怖くても、見ているだけには戻りません。",104,2/2,water_city_sophia_after_meeting,event=water_city_sophia_after_meeting; actions=CONV:WATER_CITY_SOPHIA_AFTER_MEETING; 水上都市リヴァリア FMAP000015-00 / ソフィアと話す / storyStep>=4; storyStep<=4; subMin=:3; subMax=:99; 水上都市リヴァリア FMAP000015-00 / ソフィアと話す / default=:True; 水上都市リヴァリア FMAP000015-00; 水上都市リヴァリア FMAP000015-00,現行参照,story.js:1397,,
376,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,LOCKED_SEABED_TEMPLE,システム,海の底に沈む神殿が見える。だが、水流は荒く、入口らしき場所も兵の影に塞がれている。,,1/2,locked_seabed_temple,event=locked_seabed_temple; actions=CONV:LOCKED_SEABED_TEMPLE,現行参照,story.js:1409,,
377,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,LOCKED_SEABED_TEMPLE,ケイト,"この流れでは入れません。
水上都市なら、古い水路を知っている人がいるはずです。",104,2/2,locked_seabed_temple,event=locked_seabed_temple; actions=CONV:LOCKED_SEABED_TEMPLE,現行参照,story.js:1409,,
378,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_GATE_ENCOUNTER,システム,沈水回廊の水門前。青く錆びた扉を背に、黒鎧の兵士たちが進路を塞いでいる。,,1/3,sea_temple_gate_encounter,"event=sea_temple_gate_encounter; actions=CONV:SEABED_TEMPLE_GATE_ENCOUNTER -> BOSS(value=[301021, 301022, 301021])",現行参照,story.js:1420,,
379,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_GATE_ENCOUNTER,ダークナイト,ここから先は祈祷の間へ続く。民間人はもちろん、王国の命なき兵すら通さぬ。,,2/3,sea_temple_gate_encounter,"event=sea_temple_gate_encounter; actions=CONV:SEABED_TEMPLE_GATE_ENCOUNTER -> BOSS(value=[301021, 301022, 301021])",現行参照,story.js:1420,,
380,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_GATE_ENCOUNTER,ケイト,あの騎士がこの神殿の鍵を持っているかもしれません。倒すしかない、です…！,104,3/3,sea_temple_gate_encounter,"event=sea_temple_gate_encounter; actions=CONV:SEABED_TEMPLE_GATE_ENCOUNTER -> BOSS(value=[301021, 301022, 301021])",現行参照,story.js:1420,,
381,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_GATE_CLEAR,ダークナイト,ぐっ……シーリス様、お許しを…,,1/3,sea_temple_gate_clear,event=sea_temple_gate_clear; actions=CONV:SEABED_TEMPLE_GATE_CLEAR -> FLAG(key=seabedTempleGateCleared) -> LOG(value=鍵束を入手した。海底神殿の水門へ進もう。),現行参照,story.js:1435,,
382,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_GATE_CLEAR,システム,鍵束を手に入れた！,,2/3,sea_temple_gate_clear,event=sea_temple_gate_clear; actions=CONV:SEABED_TEMPLE_GATE_CLEAR -> FLAG(key=seabedTempleGateCleared) -> LOG(value=鍵束を入手した。海底神殿の水門へ進もう。),現行参照,story.js:1435,,
383,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_GATE_CLEAR,ケイト,鍵の色が同じ扉なら開くようです…！神殿内には兵士がたくさん…慎重に進みましょう。,104,3/3,sea_temple_gate_clear,event=sea_temple_gate_clear; actions=CONV:SEABED_TEMPLE_GATE_CLEAR -> FLAG(key=seabedTempleGateCleared) -> LOG(value=鍵束を入手した。海底神殿の水門へ進もう。),現行参照,story.js:1435,,
384,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_SYRIS_ENCOUNTER,システム,祈祷の間は凍てつき、侵入者を拒んでいるようだ。,,1/6,water_temple_syris_encounter,"event=water_temple_syris_encounter; actions=CONV:SEABED_SYRIS_ENCOUNTER -> BOSS(value=[301022, 301030, 301022])",現行参照,story.js:1450,,
385,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_SYRIS_ENCOUNTER,システム,水のプリズムの光は薄れ、床一面に霜が広がっている。,,2/6,water_temple_syris_encounter,"event=water_temple_syris_encounter; actions=CONV:SEABED_SYRIS_ENCOUNTER -> BOSS(value=[301022, 301030, 301022])",現行参照,story.js:1450,,
386,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_SYRIS_ENCOUNTER,氷楔のシーリス,ずいぶん遅かったのね。奇跡と呼ばれた水の力は、既に凍てつく刃として王国へ捧げられた。,,3/6,water_temple_syris_encounter,"event=water_temple_syris_encounter; actions=CONV:SEABED_SYRIS_ENCOUNTER -> BOSS(value=[301022, 301030, 301022])",現行参照,story.js:1450,,
387,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_SYRIS_ENCOUNTER,ケイト,息が……凍る……。でも、ここで退くわけにはいきません…！！,104,4/6,water_temple_syris_encounter,"event=water_temple_syris_encounter; actions=CONV:SEABED_SYRIS_ENCOUNTER -> BOSS(value=[301022, 301030, 301022])",現行参照,story.js:1450,,
388,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_SYRIS_ENCOUNTER,氷楔のシーリス,ならば眠りなさい。この水底で、永遠に。,,5/6,water_temple_syris_encounter,"event=water_temple_syris_encounter; actions=CONV:SEABED_SYRIS_ENCOUNTER -> BOSS(value=[301022, 301030, 301022])",現行参照,story.js:1450,,
389,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_SYRIS_ENCOUNTER,システム,シーリスから巨大な冷気が迸り、[N:301]達の体を突き刺した…！！,,6/6,water_temple_syris_encounter,"event=water_temple_syris_encounter; actions=CONV:SEABED_SYRIS_ENCOUNTER -> BOSS(value=[301022, 301030, 301022])",現行参照,story.js:1450,,
390,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,システム,凍りついた祈祷の間に水音が戻り、プリズムから青い光が広がっていく……！,,1/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
391,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,氷楔のシーリス,ここまで届く……か。けれど、儀式はまだ終わらない。全てはこの国のため……,,2/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
392,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,システム,シーリスは砕ける氷の向こうへ退き、残っていた暗黒騎士たちも神殿から引き上げていく。,,3/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
393,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,ケイト,"水の流れが戻っています。これなら街も……。
まず水上都市へ戻って、無事を確かめましょう。",104,4/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
394,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,ケイト,"それと……ここまで来て、もう『案内役だから』なんて言っていられません。
これからも、僕を一緒に行かせてください。",104,5/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
395,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,システム,[N:104]が正式に仲間に加わった！,,6/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
396,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,システム,"その時、祭壇の床に残った水が小さく震えた。
青い波紋とともに、遠くからソフィアの声が届く。",,7/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
397,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,ソフィア,ケイト、聞こえるかい。返事はいらない。今すぐ戻ってきな。,202,8/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
398,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,ソフィア,"黒鎧の連中が街の中で剣を抜いた。命令を聞く顔じゃない。
住民まで追ってる。",202,9/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
399,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,SEABED_TEMPLE_CLEAR,ケイト,"ソフィアさん……！
[N:301]、急ぎましょう。水上都市が危ない！",104,10/10,water_temple_clear,"event=water_temple_clear; actions=CONV:SEABED_TEMPLE_CLEAR -> ALLY(value=104) -> FLAG(key=waterCityRiotReported) -> FLAG(key=waterCityRiotStarted) -> WORLD_STATE(value=0,key=waterCityRiotWave) -> WORLD_STATE(value=1,key=waterCityState) -> SUB(value=4) -> LOG(value=水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。)",現行参照,story.js:1477,,
400,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_1,システム,"水上都市へ駆け戻ると、南の水路まで怒号が響いていた。
黒鎧の兵が、逃げ遅れた住民へ刃を向けている。",,1/4,water_city_riot_wave_1,"event=water_city_riot_wave_1; actions=CONV:WATER_CITY_RIOT_WAVE_1 -> BOSS(value=[301021, 301021, 301021]); 水上都市リヴァリア FMAP000015-00 / 暗黒騎士を止める",現行参照,story.js:1525,,
401,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_1,ケイト,神殿から引いた兵たちです……でも、様子が違う。,104,2/4,water_city_riot_wave_1,"event=water_city_riot_wave_1; actions=CONV:WATER_CITY_RIOT_WAVE_1 -> BOSS(value=[301021, 301021, 301021]); 水上都市リヴァリア FMAP000015-00 / 暗黒騎士を止める",現行参照,story.js:1525,,
402,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_1,暗黒騎士,退避命令に従わぬ者は敵性とみなす。排除する。,,3/4,water_city_riot_wave_1,"event=water_city_riot_wave_1; actions=CONV:WATER_CITY_RIOT_WAVE_1 -> BOSS(value=[301021, 301021, 301021]); 水上都市リヴァリア FMAP000015-00 / 暗黒騎士を止める",現行参照,story.js:1525,,
403,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_1,主人公,住民を下がらせろ。ここは通さない。,301,4/4,water_city_riot_wave_1,"event=water_city_riot_wave_1; actions=CONV:WATER_CITY_RIOT_WAVE_1 -> BOSS(value=[301021, 301021, 301021]); 水上都市リヴァリア FMAP000015-00 / 暗黒騎士を止める",現行参照,story.js:1525,,
404,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_WAVE_1_CLEAR,町人,西の船渠にも黒鎧がいる！　子どもたちが逃げ込んだんだ！,,1/2,water_city_riot_wave_1_clear,"event=water_city_riot_wave_1_clear; actions=CONV:WATER_CITY_RIOT_WAVE_1_CLEAR -> WORLD_STATE(value=1,key=waterCityRiotWave) -> LOG(value=西の船渠へ向かい、暴動した暗黒騎士を止めよう。)",現行参照,story.js:1545,,
405,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_WAVE_1_CLEAR,ケイト,まだ終わってません。急ぎましょう！,104,2/2,water_city_riot_wave_1_clear,"event=water_city_riot_wave_1_clear; actions=CONV:WATER_CITY_RIOT_WAVE_1_CLEAR -> WORLD_STATE(value=1,key=waterCityRiotWave) -> LOG(value=西の船渠へ向かい、暴動した暗黒騎士を止めよう。)",現行参照,story.js:1545,,
406,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_2,システム,西の船渠。倉庫の扉を背に、船大工たちが追い詰められている。,,1/3,water_city_riot_wave_2,"event=water_city_riot_wave_2; actions=CONV:WATER_CITY_RIOT_WAVE_2 -> BOSS(value=[301021, 301022]); 水上都市リヴァリア FMAP000015-00 / 船渠の暗黒騎士を止める",現行参照,story.js:1556,,
407,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_2,船大工,中には子どもがいる！　ここから先へは行かせるな！,,2/3,water_city_riot_wave_2,"event=water_city_riot_wave_2; actions=CONV:WATER_CITY_RIOT_WAVE_2 -> BOSS(value=[301021, 301022]); 水上都市リヴァリア FMAP000015-00 / 船渠の暗黒騎士を止める",現行参照,story.js:1556,,
408,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_2,暗黒騎士,進路を妨害する者を排除する。,,3/3,water_city_riot_wave_2,"event=water_city_riot_wave_2; actions=CONV:WATER_CITY_RIOT_WAVE_2 -> BOSS(value=[301021, 301022]); 水上都市リヴァリア FMAP000015-00 / 船渠の暗黒騎士を止める",現行参照,story.js:1556,,
409,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_WAVE_2_CLEAR,船大工,助かった……！　中央橋でも剣の音がした。まだいるぞ！,,1/1,water_city_riot_wave_2_clear,"event=water_city_riot_wave_2_clear; actions=CONV:WATER_CITY_RIOT_WAVE_2_CLEAR -> WORLD_STATE(value=2,key=waterCityRiotWave) -> LOG(value=中央水路へ急ぎ、避難路を確保しよう。)",現行参照,story.js:1570,,
410,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_3,システム,中央水路へ回ると、黒鎧の一隊が避難路を塞いでいた。,,1/2,water_city_riot_wave_3,"event=water_city_riot_wave_3; actions=CONV:WATER_CITY_RIOT_WAVE_3 -> BOSS(value=[301022, 301022]); 水上都市リヴァリア FMAP000015-00 / 中央水路の暗黒騎士を止める",現行参照,story.js:1576,,
411,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_3,ケイト,ここを抜かれたら、北側へ逃げた人たちが挟まれます。止めましょう！,104,2/2,water_city_riot_wave_3,"event=water_city_riot_wave_3; actions=CONV:WATER_CITY_RIOT_WAVE_3 -> BOSS(value=[301022, 301022]); 水上都市リヴァリア FMAP000015-00 / 中央水路の暗黒騎士を止める",現行参照,story.js:1576,,
412,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_WAVE_3_CLEAR,ソフィア,"聞こえるかい！　北橋にも回り込んでる。
広場へ抜かせるんじゃないよ！",202,1/1,water_city_riot_wave_3_clear,"event=water_city_riot_wave_3_clear; actions=CONV:WATER_CITY_RIOT_WAVE_3_CLEAR -> WORLD_STATE(value=3,key=waterCityRiotWave) -> LOG(value=北側の橋へ回り、負傷者の退路を守ろう。)",現行参照,story.js:1587,,
413,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_4,システム,北側の橋では、負傷者を運ぶ住民へ暗黒騎士が迫っていた。,,1/2,water_city_riot_wave_4,"event=water_city_riot_wave_4; actions=CONV:WATER_CITY_RIOT_WAVE_4 -> BOSS(value=[301021, 301022, 301021]); 水上都市リヴァリア FMAP000015-00 / 北側の暗黒騎士を止める",現行参照,story.js:1594,,
414,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_4,主人公,負傷者を先に。ここは俺たちが止める。,301,2/2,water_city_riot_wave_4,"event=water_city_riot_wave_4; actions=CONV:WATER_CITY_RIOT_WAVE_4 -> BOSS(value=[301021, 301022, 301021]); 水上都市リヴァリア FMAP000015-00 / 北側の暗黒騎士を止める",現行参照,story.js:1594,,
415,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_WAVE_4_CLEAR,元兵士,広場に残った連中が集まってる！　あそこが最後だ！,,1/1,water_city_riot_wave_4_clear,"event=water_city_riot_wave_4_clear; actions=CONV:WATER_CITY_RIOT_WAVE_4_CLEAR -> WORLD_STATE(value=4,key=waterCityRiotWave) -> LOG(value=中央広場へ向かい、最後の暗黒騎士部隊を止めよう。)",現行参照,story.js:1605,,
416,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_5,システム,中央広場。最後に残った黒鎧の一隊が、街の中心を占拠している。,,1/3,water_city_riot_wave_5,"event=water_city_riot_wave_5; actions=CONV:WATER_CITY_RIOT_WAVE_5 -> BOSS(value=[301022, 301022, 301021]); 水上都市リヴァリア FMAP000015-00 / 広場の暗黒騎士を止める",現行参照,story.js:1611,,
417,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_5,暗黒騎士,王国の秩序を乱す者を排除する。例外はない。,,2/3,water_city_riot_wave_5,"event=water_city_riot_wave_5; actions=CONV:WATER_CITY_RIOT_WAVE_5 -> BOSS(value=[301022, 301022, 301021]); 水上都市リヴァリア FMAP000015-00 / 広場の暗黒騎士を止める",現行参照,story.js:1611,,
418,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,水上都市リヴァリア FMAP000015-00,WATER_CITY_RIOT_WAVE_5,ケイト,街の人を斬っておいて……それが秩序だって言うんですか！,104,3/3,water_city_riot_wave_5,"event=water_city_riot_wave_5; actions=CONV:WATER_CITY_RIOT_WAVE_5 -> BOSS(value=[301022, 301022, 301021]); 水上都市リヴァリア FMAP000015-00 / 広場の暗黒騎士を止める",現行参照,story.js:1611,,
419,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,システム,"最後の黒鎧が膝をつく。
その直後、北橋から揃った軍靴の音が響いた。",,1/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
420,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,システム,白銀の甲冑をまとった騎士たちが広場へなだれ込み、残存する暗黒騎士を一気に取り囲む。,,2/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
421,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,クロード,第一班は負傷者を運べ！　第二班、武器を捨てた奴には手を出すな！,304,3/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
422,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,レオン,東橋を塞げ。追撃はするな。民間人の避難を最優先にしろ。,305,4/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
423,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,システム,指示は迷いなく通り、街に残っていた剣戟の音がようやく途切れていく。,,5/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
424,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,クロード,"……遅れた。王国の鎧を着た連中が民に剣を向けた。
別系統の部隊だ、で済ませる気はない。すまなかった。",304,6/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
425,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,町人,謝るのはあんたらじゃないよ！　この人たちがいなきゃ、もっと大勢やられてた！,,7/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
426,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,町人,そうだ！　神殿も街も救ってくれたんだ。救世主ってのは、こういう人たちのことだろ！,,8/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
427,第4段階 水上都市・海底神殿・レクスノート邸,メイン・イベント,,WATER_CITY_RIOT_SUPPRESSED,レオン,……救世主、か。,305,9/17,water_city_riot_suppressed,"event=water_city_riot_suppressed; actions=CONV:WATER_CITY_RIOT_SUPPRESSED -> WORLD_STATE(value=5,key=waterCityRiotWave) -> FLAG(key=waterCityRiotSuppressed) -> FLAG(key=waterCityCleared) -> WORLD_STATE(value=2,key=waterCityState) -> SUB(value=5) -> LOG(value=水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。)",現行参照,story.js:1626,,
